d,model,num_iters
1,simple_cgp_sam,0
1,simple_cgp_sam,0
1,simple_cgp_sam,0
1,simple_cgp_sam,4
1,simple_cgp_sam,0
1,simple_cgp_sam,0
1,simple_cgp_sam,0
1,simple_cgp_sam,0
1,simple_cgp_sam,6
1,simple_cgp_sam,6
1,simple_cgp_sam,1
1,simple_cgp_sam,0
1,simple_cgp_sam,0
1,simple_cgp_sam,0
1,simple_cgp_sam,4
1,simple_cgp_sam,0
1,simple_cgp_sam,0
1,simple_cgp_sam,0
2,simple_cgp_sam,3
2,simple_cgp_sam,11
2,simple_cgp_sam,4
2,simple_cgp_sam,10
2,simple_cgp_sam,9
2,simple_cgp_sam,6
2,simple_cgp_sam,24
2,simple_cgp_sam,0
2,simple_cgp_sam,10
2,simple_cgp_sam,7
2,simple_cgp_sam,0
2,simple_cgp_sam,3
2,simple_cgp_sam,1
2,simple_cgp_sam,1
2,simple_cgp_sam,10
2,simple_cgp_sam,5
2,simple_cgp_sam,0
2,simple_cgp_sam,4
2,simple_cgp_sam,3
2,simple_cgp_sam,0
2,simple_cgp_sam,0
2,simple_cgp_sam,13
2,simple_cgp_sam,0
2,simple_cgp_sam,8
2,simple_cgp_sam,17
2,simple_cgp_sam,0
2,simple_cgp_sam,0
2,simple_cgp_sam,1
2,simple_cgp_sam,3
2,simple_cgp_sam,0
3,simple_cgp_sam,0
3,simple_cgp_sam,16
3,simple_cgp_sam,131
3,simple_cgp_sam,3
3,simple_cgp_sam,70
3,simple_cgp_sam,33
3,simple_cgp_sam,25
3,simple_cgp_sam,5
3,simple_cgp_sam,53
3,simple_cgp_sam,76
3,simple_cgp_sam,29
3,simple_cgp_sam,23
3,simple_cgp_sam,97
3,simple_cgp_sam,17
3,simple_cgp_sam,51
3,simple_cgp_sam,29
3,simple_cgp_sam,18
3,simple_cgp_sam,33
3,simple_cgp_sam,5
3,simple_cgp_sam,12
3,simple_cgp_sam,18
3,simple_cgp_sam,12
3,simple_cgp_sam,35
3,simple_cgp_sam,36
3,simple_cgp_sam,4
3,simple_cgp_sam,18
3,simple_cgp_sam,21
3,simple_cgp_sam,4
3,simple_cgp_sam,13
3,simple_cgp_sam,23
4,simple_cgp_sam,36
4,simple_cgp_sam,52
4,simple_cgp_sam,105
4,simple_cgp_sam,32
4,simple_cgp_sam,42
4,simple_cgp_sam,48
4,simple_cgp_sam,75
4,simple_cgp_sam,27
4,simple_cgp_sam,75
4,simple_cgp_sam,209
4,simple_cgp_sam,30
4,simple_cgp_sam,43
4,simple_cgp_sam,46
4,simple_cgp_sam,50
4,simple_cgp_sam,70
4,simple_cgp_sam,55
4,simple_cgp_sam,73
4,simple_cgp_sam,55
4,simple_cgp_sam,161
4,simple_cgp_sam,66
4,simple_cgp_sam,56
4,simple_cgp_sam,50
4,simple_cgp_sam,21
4,simple_cgp_sam,70
4,simple_cgp_sam,113
4,simple_cgp_sam,62
4,simple_cgp_sam,60
4,simple_cgp_sam,55
4,simple_cgp_sam,14
4,simple_cgp_sam,266
5,simple_cgp_sam,61
5,simple_cgp_sam,112
5,simple_cgp_sam,57
5,simple_cgp_sam,65
5,simple_cgp_sam,85
5,simple_cgp_sam,108
5,simple_cgp_sam,122
5,simple_cgp_sam,110
5,simple_cgp_sam,169
5,simple_cgp_sam,145
5,simple_cgp_sam,53
5,simple_cgp_sam,229
