d,model,num_iters
15,simple_cgp_sam,6066
15,simple_cgp_sam,11213
15,simple_cgp_sam,17569
15,simple_cgp_sam,9889
15,simple_cgp_sam,5256
15,simple_cgp_sam,3649
15,simple_cgp_sam,5640
15,simple_cgp_sam,1999
15,simple_cgp_sam,6704
15,simple_cgp_sam,3625
1,simple_cgp_sam,0
15,simple_cgp_sam,4428
15,simple_cgp_sam,4306
15,simple_cgp_sam,2026
15,simple_cgp_sam,2045
15,simple_cgp_sam,15064
15,simple_cgp_sam,3492
15,simple_cgp_sam,3027
15,simple_cgp_sam,2626
15,simple_cgp_sam,6313
15,simple_cgp_sam,10554
15,simple_cgp_sam,2655
1,simple_cgp_sam,2
15,simple_cgp_sam,7277
15,simple_cgp_sam,8290
15,simple_cgp_sam,5605
15,simple_cgp_sam,6692
15,simple_cgp_sam,10687
15,simple_cgp_sam,4323
15,simple_cgp_sam,14893
15,simple_cgp_sam,13266
15,simple_cgp_sam,4231
15,simple_cgp_sam,18953
15,simple_cgp_sam,4689
1,simple_cgp_sam,3
15,simple_cgp_sam,8515
15,simple_cgp_sam,2785
15,simple_cgp_sam,9681
15,simple_cgp_sam,1988
15,simple_cgp_sam,3744
15,simple_cgp_sam,5435
15,simple_cgp_sam,14522
15,simple_cgp_sam,4628
15,simple_cgp_sam,8249
15,simple_cgp_sam,10503
15,simple_cgp_sam,3750
1,simple_cgp_sam,10
15,simple_cgp_sam,3828
15,simple_cgp_sam,10177
15,simple_cgp_sam,3571
15,simple_cgp_sam,2897
15,simple_cgp_sam,7592
15,simple_cgp_sam,4933
15,simple_cgp_sam,6565
15,simple_cgp_sam,8105
15,simple_cgp_sam,3311
15,simple_cgp_sam,2287
15,simple_cgp_sam,5410
1,simple_cgp_sam,7
15,simple_cgp_sam,10833
15,simple_cgp_sam,6571
15,simple_cgp_sam,5473
15,simple_cgp_sam,5086
15,simple_cgp_sam,10763
15,simple_cgp_sam,7730
15,simple_cgp_sam,5910
15,simple_cgp_sam,7167
15,simple_cgp_sam,2413
15,simple_cgp_sam,4892
15,simple_cgp_sam,2074
1,simple_cgp_sam,10
15,simple_cgp_sam,5011
15,simple_cgp_sam,7341
15,simple_cgp_sam,4543
15,simple_cgp_sam,3875
15,simple_cgp_sam,15055
15,simple_cgp_sam,4571
15,simple_cgp_sam,5375
15,simple_cgp_sam,6331
15,simple_cgp_sam,9284
15,simple_cgp_sam,3427
15,simple_cgp_sam,5601
1,simple_cgp_sam,0
15,simple_cgp_sam,7036
15,simple_cgp_sam,8782
15,simple_cgp_sam,2960
15,simple_cgp_sam,8884
15,simple_cgp_sam,3804
15,simple_cgp_sam,4104
15,simple_cgp_sam,6715
15,simple_cgp_sam,7599
15,simple_cgp_sam,10161
15,simple_cgp_sam,6518
15,simple_cgp_sam,1984
1,simple_cgp_sam,0
15,simple_cgp_sam,3443
15,simple_cgp_sam,4115
15,simple_cgp_sam,10341
15,simple_cgp_sam,3377
15,simple_cgp_sam,6229
15,simple_cgp_sam,5320
15,simple_cgp_sam,2585
15,simple_cgp_sam,6846
15,simple_cgp_sam,3203
15,simple_cgp_sam,6276
15,simple_cgp_sam,11866
1,simple_cgp_sam,6
15,simple_cgp_sam,6218
1,simple_cgp_sam,20
1,simple_cgp_sam,0
16,simple_cgp_sam,7553
16,simple_cgp_sam,9618
16,simple_cgp_sam,9509
16,simple_cgp_sam,15053
16,simple_cgp_sam,3520
16,simple_cgp_sam,15538
16,simple_cgp_sam,27376
16,simple_cgp_sam,4670
16,simple_cgp_sam,9003
16,simple_cgp_sam,9399
16,simple_cgp_sam,3714
1,simple_cgp_sam,23
16,simple_cgp_sam,12663
16,simple_cgp_sam,6825
16,simple_cgp_sam,22514
16,simple_cgp_sam,3064
16,simple_cgp_sam,3090
16,simple_cgp_sam,7075
16,simple_cgp_sam,5740
16,simple_cgp_sam,12558
16,simple_cgp_sam,4319
16,simple_cgp_sam,10783
16,simple_cgp_sam,4880
1,simple_cgp_sam,31
16,simple_cgp_sam,3361
16,simple_cgp_sam,8840
16,simple_cgp_sam,6528
16,simple_cgp_sam,6355
16,simple_cgp_sam,6462
16,simple_cgp_sam,7274
16,simple_cgp_sam,8045
16,simple_cgp_sam,2937
16,simple_cgp_sam,4367
16,simple_cgp_sam,17403
16,simple_cgp_sam,5255
1,simple_cgp_sam,8
16,simple_cgp_sam,8374
16,simple_cgp_sam,3006
16,simple_cgp_sam,4052
16,simple_cgp_sam,5811
16,simple_cgp_sam,12061
16,simple_cgp_sam,7689
16,simple_cgp_sam,9327
16,simple_cgp_sam,8039
16,simple_cgp_sam,6070
16,simple_cgp_sam,3682
16,simple_cgp_sam,5296
1,simple_cgp_sam,0
16,simple_cgp_sam,8311
16,simple_cgp_sam,11044
16,simple_cgp_sam,11048
16,simple_cgp_sam,6140
16,simple_cgp_sam,8238
16,simple_cgp_sam,10521
16,simple_cgp_sam,9695
16,simple_cgp_sam,7954
16,simple_cgp_sam,4429
16,simple_cgp_sam,25807
16,simple_cgp_sam,7293
1,simple_cgp_sam,1
16,simple_cgp_sam,7242
16,simple_cgp_sam,10259
16,simple_cgp_sam,4988
16,simple_cgp_sam,20161
16,simple_cgp_sam,7697
16,simple_cgp_sam,5004
16,simple_cgp_sam,3445
16,simple_cgp_sam,3563
16,simple_cgp_sam,15292
16,simple_cgp_sam,12115
16,simple_cgp_sam,4335
1,simple_cgp_sam,0
16,simple_cgp_sam,1788
16,simple_cgp_sam,5068
16,simple_cgp_sam,7581
16,simple_cgp_sam,5848
16,simple_cgp_sam,7167
16,simple_cgp_sam,4852
16,simple_cgp_sam,4941
16,simple_cgp_sam,2847
16,simple_cgp_sam,4706
16,simple_cgp_sam,5346
16,simple_cgp_sam,2208
1,simple_cgp_sam,0
16,simple_cgp_sam,15456
16,simple_cgp_sam,5587
16,simple_cgp_sam,3704
16,simple_cgp_sam,4899
16,simple_cgp_sam,2525
16,simple_cgp_sam,25880
16,simple_cgp_sam,9768
16,simple_cgp_sam,30595
16,simple_cgp_sam,23491
16,simple_cgp_sam,3542
16,simple_cgp_sam,15755
1,simple_cgp_sam,4
16,simple_cgp_sam,5875
16,simple_cgp_sam,8742
16,simple_cgp_sam,2856
16,simple_cgp_sam,11706
16,simple_cgp_sam,12442
16,simple_cgp_sam,7797
16,simple_cgp_sam,11018
16,simple_cgp_sam,4791
16,simple_cgp_sam,7572
16,simple_cgp_sam,4466
16,simple_cgp_sam,7776
1,simple_cgp_sam,2
16,simple_cgp_sam,3107
1,simple_cgp_sam,0
1,simple_cgp_sam,17
17,simple_cgp_sam,3848
17,simple_cgp_sam,1698
17,simple_cgp_sam,15092
17,simple_cgp_sam,3361
17,simple_cgp_sam,3538
17,simple_cgp_sam,9875
17,simple_cgp_sam,10962
17,simple_cgp_sam,20701
17,simple_cgp_sam,4656
17,simple_cgp_sam,14990
17,simple_cgp_sam,7525
1,simple_cgp_sam,0
17,simple_cgp_sam,7151
17,simple_cgp_sam,3856
17,simple_cgp_sam,9079
17,simple_cgp_sam,2365
17,simple_cgp_sam,8047
17,simple_cgp_sam,7601
17,simple_cgp_sam,5655
17,simple_cgp_sam,5445
17,simple_cgp_sam,6200
17,simple_cgp_sam,10789
17,simple_cgp_sam,8619
1,simple_cgp_sam,4
17,simple_cgp_sam,9629
17,simple_cgp_sam,6634
17,simple_cgp_sam,5812
17,simple_cgp_sam,5335
17,simple_cgp_sam,9761
17,simple_cgp_sam,13248
17,simple_cgp_sam,6481
17,simple_cgp_sam,8167
17,simple_cgp_sam,2856
17,simple_cgp_sam,15176
17,simple_cgp_sam,8664
1,simple_cgp_sam,4
17,simple_cgp_sam,6900
17,simple_cgp_sam,3743
17,simple_cgp_sam,3943
17,simple_cgp_sam,19959
17,simple_cgp_sam,14351
17,simple_cgp_sam,3497
17,simple_cgp_sam,7922
17,simple_cgp_sam,2589
17,simple_cgp_sam,12180
17,simple_cgp_sam,9077
17,simple_cgp_sam,9287
1,simple_cgp_sam,4
17,simple_cgp_sam,13722
17,simple_cgp_sam,6918
17,simple_cgp_sam,8076
17,simple_cgp_sam,7273
17,simple_cgp_sam,18467
17,simple_cgp_sam,21246
17,simple_cgp_sam,8203
17,simple_cgp_sam,15719
17,simple_cgp_sam,6483
17,simple_cgp_sam,12189
17,simple_cgp_sam,4929
1,simple_cgp_sam,5
17,simple_cgp_sam,9026
17,simple_cgp_sam,2775
17,simple_cgp_sam,14195
17,simple_cgp_sam,12282
17,simple_cgp_sam,11074
17,simple_cgp_sam,13236
17,simple_cgp_sam,4251
17,simple_cgp_sam,5757
17,simple_cgp_sam,14562
17,simple_cgp_sam,25090
17,simple_cgp_sam,12968
1,simple_cgp_sam,29
17,simple_cgp_sam,4669
17,simple_cgp_sam,7954
17,simple_cgp_sam,6561
17,simple_cgp_sam,6762
17,simple_cgp_sam,11065
17,simple_cgp_sam,11222
17,simple_cgp_sam,21043
17,simple_cgp_sam,12650
17,simple_cgp_sam,4916
17,simple_cgp_sam,13679
17,simple_cgp_sam,5468
1,simple_cgp_sam,0
17,simple_cgp_sam,5996
17,simple_cgp_sam,4133
17,simple_cgp_sam,6348
17,simple_cgp_sam,8528
17,simple_cgp_sam,12710
17,simple_cgp_sam,7157
17,simple_cgp_sam,5963
17,simple_cgp_sam,2685
17,simple_cgp_sam,7634
17,simple_cgp_sam,2623
17,simple_cgp_sam,9202
1,simple_cgp_sam,67
17,simple_cgp_sam,9121
17,simple_cgp_sam,11131
17,simple_cgp_sam,11661
17,simple_cgp_sam,21554
17,simple_cgp_sam,6566
17,simple_cgp_sam,6457
17,simple_cgp_sam,8340
17,simple_cgp_sam,15166
17,simple_cgp_sam,12902
17,simple_cgp_sam,23774
